energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,music_features,uri
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,string
,,,,,,,,,,,,class,meta
0.577,0.148,91.98,0.0365,0.186,0.0,4.0,0.676,10.0,241600.0,-12.031,0.934,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:48O0GrGJWml3DzHhC5sJ7a
0.367,0.0818,120.175,0.0328,0.55,1.38e-05,4.0,0.584,6.0,176293.0,-9.638,0.588,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:1JO1xLtVc8mWhIoE3YaCL0
0.524,0.482,142.855,0.273,0.596,0.0432,4.0,0.683,7.0,127826.0,-7.483,0.82,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:1H6NscSNlknTI09CcC5tHp
0.647,0.0972,122.771,0.0299,0.757,3.08e-06,4.0,0.757,2.0,169627.0,-10.264,0.97,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:4GAI8BxeMgrvhZNEU59UfR
0.742,0.339,138.591,0.0454,0.218,0.0,4.0,0.552,0.0,125827.0,-7.963,0.751,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:1udKn1oNKYQSQ9OmiIWCMu
0.809,0.183,125.941,0.0302,0.114,0.000521,4.0,0.697,9.0,214827.0,-8.197,0.98,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:5nNmj1cLH3r4aA4XDJ2bgY
0.584,0.187,98.293,0.0318,0.466,0.00195,4.0,0.674,8.0,180893.0,-8.204,0.96,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0PGwM5vdr5fMejx0IIAYXj
0.512,0.243,104.826,0.0427,0.37,0.0,4.0,0.592,7.0,176067.0,-6.27,0.565,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0Vpswx5knuuXW8HmNK1LrT
0.874,0.323,166.54,0.0706,0.781,0.000311,4.0,0.54,10.0,161293.0,-6.099,0.969,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:2XGHdmjsumZRkaL8LhBb1e
0.954,0.0555,178.043,0.0476,0.00411,0.0,4.0,0.425,1.0,243160.0,-3.756,0.933,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0Ph6L4l8dYUuXFmb71Ajnd
0.28,0.306,115.841,0.0312,0.805,3.85e-06,4.0,0.7,3.0,124560.0,-14.317,0.538,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:1aKWa7Y8QY1wUlmmyYoAeQ
0.802,0.387,119.25,0.0392,0.25,0.0,4.0,0.491,4.0,248907.0,-7.106,0.472,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:77NNZQSqzLNqh2A9JhLRkg
0.822,0.0645,130.138,0.0292,0.0745,0.00943,4.0,0.547,0.0,239560.0,-7.201,0.774,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:2PfBSkCKZDXMsJogMT0wML
0.445,0.0509,94.331,0.0597,0.103,0.000106,4.0,0.815,5.0,240067.0,-14.829,0.682,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:4sTjpbVRhhzN5YHhYMYbe3
0.794,0.788,112.61,0.0655,0.259,0.0,4.0,0.722,2.0,187893.0,-11.009,0.799,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:5oVd20ddRqp5yenSA0E6u1
0.482,0.111,193.513,0.194,0.0853,9.22e-05,4.0,0.543,4.0,284773.0,-12.789,0.415,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:5mYtpXrZZ1bbGJYDGC8I0Y
0.934,0.137,138.162,0.0471,0.000312,0.00457,4.0,0.519,7.0,201867.0,-7.137,0.586,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:2DyHhPyCZgZzNXn1IrtsTu
0.967,0.245,145.024,0.0474,0.0849,0.0,4.0,0.711,7.0,288400.0,-5.204,0.892,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:38bDGWuyYdSdNfrFfbCiVS
0.897,0.13,157.17,0.0471,0.241,0.0,4.0,0.544,3.0,215133.0,-6.056,0.647,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:34x6hEJgGAOQvmlMql5Ige
0.915,0.0779,117.593,0.0693,0.0676,0.000766,4.0,0.519,6.0,309467.0,-5.6,0.156,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:6jpZQXdoPr9ZAhr9mxCyW0
0.53,0.17,109.979,0.178,0.115,0.179,4.0,0.951,5.0,214653.0,-6.594,0.699,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:57JVGBtBLCfHw2muk5416J
0.927,0.699,136.247,0.156,0.461,5.73e-05,4.0,0.66,5.0,211533.0,-5.867,0.458,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:4caiYv89C9GZdDD1RzshWd
0.893,0.0251,205.544,0.037,0.026,0.0,4.0,0.383,7.0,246933.0,-8.638,0.803,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:2oSpQ7QtIKTNFfA08Cy0ku
0.989,0.123,115.158,0.0464,0.186,3.12e-05,4.0,0.669,7.0,201503.0,-5.448,0.895,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:1N9bMjIVVq2gLMbAecDnul
0.791,0.0378,128.822,0.0371,0.0803,2.68e-05,4.0,0.749,9.0,284907.0,-5.939,0.663,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:01OX9zj1h7mZsPj4CesRa4
0.663,0.318,85.308,0.21,0.12,0.0,4.0,0.862,0.0,238267.0,-9.004,0.837,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:3yNVfRQlUPViUh8O2V9SQn
