energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.822,0.0766,105.503,0.0408,0.000185,0.000117,4,0.351,6,318587,-5.337,0.158,1,audio_features,spotify:track:3ztCt91U2wGkDZuzbCwH6H
0.961,0.138,167.032,0.0851,5.53e-05,0.0834,4,0.374,10,200547,-4.421,0.357,0,audio_features,spotify:track:5pvJ59i7JxylN8VB24xdMs
0.568,0.0997,107.849,0.0276,0.00797,0.0,4,0.614,7,293960,-5.477,0.516,0,audio_features,spotify:track:3YuaBvuZqcwN3CEAyyoaei
0.905,0.117,128.019,0.0775,0.000202,0.064,4,0.602,2,304840,-4.046,0.411,1,audio_features,spotify:track:4VqPOruhp5EdPBeR92t6lQ
0.954,0.177,144.553,0.047,0.0021,0.0,4,0.423,7,310347,-3.157,0.5,0,audio_features,spotify:track:3jJZVeExYzVYiV6Y9Fl3DX
0.648,0.112,90.435,0.028,0.0023,1.49e-05,4,0.466,1,229960,-11.101,0.305,0,audio_features,spotify:track:0qgrrDnUUhyxpxbBznUnzg
0.947,0.093,160.023,0.225,1.14e-05,0.0144,4,0.426,0,309307,-4.076,0.336,1,audio_features,spotify:track:2DbEz7cLYTUu48o5D6iCP4
0.855,0.228,130.756,0.0478,0.000543,0.00855,4,0.25,5,255373,-4.143,0.443,1,audio_features,spotify:track:0Jr8JBSt4ipAy2bwGyPrw9
0.941,0.178,104.827,0.0537,0.000491,0.263,4,0.328,0,505532,-5.211,0.626,1,audio_features,spotify:track:4hjTm9cn9ZPwfKnbyW6frn
0.987,0.427,105.523,0.0653,0.00204,0.00731,3,0.496,0,313932,-3.103,0.288,1,audio_features,spotify:track:7ucFoRbiHn7SOVfHFHRjbE
0.964,0.127,105.62,0.0989,0.00386,0.00514,4,0.413,5,527892,-4.5,0.31,0,audio_features,spotify:track:61MvWKeLK4tjdSuuB8y8B8
0.477,0.105,106.957,0.0373,0.838,0.0,4,0.378,0,271625,-6.276,0.277,1,audio_features,spotify:track:1p45FzpjdhUK3iA05SrN2D
0.903,0.0497,91.22,0.195,0.00149,0.0426,4,0.704,0,196667,-4.885,0.592,1,audio_features,spotify:track:76yjNTMsef12pt2OPmRW0U
0.871,0.115,129.938,0.0452,3.51e-05,0.136,4,0.486,8,281582,-6.361,0.172,1,audio_features,spotify:track:7rfN8SUWxZSeaJFFzM6TP5
0.884,0.189,117.051,0.0749,9.14e-05,0.000106,4,0.579,2,242618,-4.59,0.366,1,audio_features,spotify:track:7n7vOMQgUkE6mvyxU4PVUm
0.953,0.287,143.914,0.0512,0.000119,4.42e-05,4,0.493,10,152187,-3.812,0.683,0,audio_features,spotify:track:77NpdcM6UCELVwOOVqzu88
0.933,0.0784,135.977,0.121,0.00028,0.00643,4,0.271,9,317191,-4.544,0.0773,1,audio_features,spotify:track:3mEExxNbWKdTJImI7KTvU0
0.927,0.0931,160.031,0.228,0.027,0.0,4,0.446,2,299016,-3.727,0.274,0,audio_features,spotify:track:6SeFPYWv9lIlSWanyEDYf5
0.953,0.0854,145.012,0.277,0.00865,0.0,4,0.489,11,240493,-6.026,0.156,0,audio_features,spotify:track:423ezgdkyIGwVrE02q5hMx
0.895,0.244,187.079,0.0616,5.04e-06,3.53e-06,4,0.358,7,191227,-5.397,0.351,1,audio_features,spotify:track:0pMhyiOrQr6oir8DY2lBAK
0.937,0.234,118.026,0.0897,0.00032,0.0,4,0.45,9,254031,-3.589,0.174,0,audio_features,spotify:track:4PsT0F7EY48efAQ1HYQ0wp
0.92,0.0941,194.914,0.0982,9.17e-06,0.0,4,0.36,10,209813,-4.47,0.355,0,audio_features,spotify:track:04K7XY6Ev4WiUVv2ysyw7b
0.886,0.138,135.058,0.0574,0.0017,0.00506,4,0.555,1,151497,-5.094,0.303,1,audio_features,spotify:track:2SwW5a71vQZa16HCZyl9rk
0.682,0.105,135.016,0.081,0.0124,0.0233,4,0.693,2,288493,-7.772,0.206,1,audio_features,spotify:track:2C6doYBvhQSYclTqpl5oJF
0.666,0.114,173.923,0.0426,0.00346,0.0622,4,0.383,0,365479,-4.977,0.12,1,audio_features,spotify:track:6nyEo8xc3yInahK4dxS8QP
0.66,0.117,75.001,0.066,0.254,0.463,4,0.642,5,196206,-8.663,0.629,1,audio_features,spotify:track:1aEL7VJYBnruX24rmQUgnT
0.674,0.1,119.93,0.0285,0.0238,0.000303,4,0.619,4,192522,-6.545,0.584,0,audio_features,spotify:track:4dTXuXfI4u91uIB3QZYqfv
0.175,0.14,119.813,0.0358,0.962,0.00145,3,0.354,7,245551,-11.442,0.201,0,audio_features,spotify:track:0dX7idX80Cc1967CDTySBs
0.489,0.112,80.015,0.0737,0.864,0.0355,4,0.506,0,266031,-9.706,0.0621,0,audio_features,spotify:track:0Y8K3VOqUEOm1ciD1Gzk2Z
0.666,0.189,107.915,0.0295,0.0412,6.61e-05,4,0.501,9,340663,-5.34,0.243,0,audio_features,spotify:track:5XKMBzWzALaSS9UtPMd5ir
0.586,0.112,115.445,0.0321,0.0013,0.000167,3,0.53,4,242155,-6.761,0.155,0,audio_features,spotify:track:1BAAmnJ2Ei5fCXAZjBQRY1
0.707,0.0977,151.994,0.0335,7.26e-06,0.00435,4,0.302,8,250958,-5.681,0.078,0,audio_features,spotify:track:7gcLA8dBxqF4B9OfW9EYxZ
0.519,0.0809,90.997,0.0283,0.00715,0.00084,4,0.535,4,278413,-6.108,0.122,0,audio_features,spotify:track:4EOF63CyjLoWVee0sndqpW
0.948,0.111,159.942,0.35,0.000216,0.371,4,0.503,6,405212,-5.903,0.245,1,audio_features,spotify:track:7I8MCiM3A4xvnM6zIiuMZn
0.932,0.323,186.074,0.0854,1.95e-05,0.00062,4,0.361,7,289095,-4.905,0.438,1,audio_features,spotify:track:0Uiqplbhwnvl9txEppdWJv
0.942,0.135,149.957,0.186,0.000908,0.0286,4,0.263,7,318160,-8.518,0.172,1,audio_features,spotify:track:2ldX63XMX8R8ENHT4OZiBH
