energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.332,0.336,104.517,0.0458,0.927,0.0859,4,0.504,6,197800,-7.631,0.362,1,audio_features,spotify:track:72O8uWxs5t8INB7Gnf4xyP
0.193,0.0877,130.351,0.0357,0.966,0.0301,4,0.596,8,178400,-9.048,0.431,1,audio_features,spotify:track:67CVMSwXCw1LD2QTmoKDBp
0.163,0.126,108.084,0.0325,0.977,0.336,4,0.48,8,169467,-11.319,0.438,1,audio_features,spotify:track:5CW53fqNpZicn3zztLumBC
0.184,0.103,64.893,0.0331,0.993,0.928,4,0.364,0,191493,-14.129,0.0936,0,audio_features,spotify:track:78dWr9XEw4xVEehrWUYChb
0.318,0.149,89.628,0.035,0.912,0.0,4,0.734,7,197667,-9.69,0.928,1,audio_features,spotify:track:1sUQNCIHXzTQq7cNK2APoa
0.336,0.234,146.797,0.0531,0.962,0.834,4,0.614,6,178133,-10.094,0.326,0,audio_features,spotify:track:2G0SKDKAgby1FxGpN56cST
0.222,0.14,102.18,0.0308,0.966,0.494,4,0.363,5,159307,-11.134,0.273,0,audio_features,spotify:track:2vsaI819EkS86Sk8u3F0xN
0.32,0.108,79.802,0.0868,0.955,0.0626,4,0.56,0,195267,-8.609,0.484,1,audio_features,spotify:track:2oa5mg2whK7VumOS60P3Pi
0.111,0.17,113.019,0.0464,0.955,0.79,4,0.74,10,210827,-11.495,0.518,1,audio_features,spotify:track:2L4wMKbtDOShrbubGpB3Up
0.361,0.0896,144.414,0.124,0.939,0.814,4,0.691,1,200173,-10.87,0.75,1,audio_features,spotify:track:16tMQ6DdnkYEDverVBVbXz
0.33,0.0864,130.552,0.0333,0.961,0.0128,4,0.739,6,201293,-8.673,0.726,1,audio_features,spotify:track:0e2YBnEBPlcqbzdo88ilUT
0.579,0.127,180.521,0.0686,0.919,0.871,4,0.449,7,206773,-8.706,0.823,0,audio_features,spotify:track:4LRlh3fiez4K0vESzvB8ff
0.37,0.128,76.083,0.027,0.976,0.728,4,0.323,2,210827,-7.549,0.131,1,audio_features,spotify:track:3Kg6fZES6rK2EGAzo5JAV5
0.577,0.153,178.319,0.093,0.957,0.828,4,0.617,2,202840,-7.609,0.777,1,audio_features,spotify:track:1IZBcHv9Xkpz9T3gHg5FqQ
0.498,0.5,175.815,0.332,0.991,0.935,4,0.529,8,207107,-10.395,0.426,1,audio_features,spotify:track:299xHTZquNR9QxXGxKVBef
0.266,0.266,135.581,0.0436,0.991,0.0538,3,0.33,9,117573,-14.1,0.181,1,audio_features,spotify:track:76tl8DyiAxwCDjrpSEau5Y
0.37,0.0943,95.246,0.0813,0.963,0.91,4,0.659,8,198680,-10.831,0.844,0,audio_features,spotify:track:2LS1BbXbtIlzxUh9uGJGwN
0.348,0.222,83.473,0.0302,0.952,0.422,4,0.261,1,126200,-9.879,0.102,1,audio_features,spotify:track:09STpLKoD1Dzeew32YMs6y
0.441,0.102,192.601,0.16,0.911,0.882,4,0.521,9,176573,-10.86,0.815,1,audio_features,spotify:track:4R6xVRFqWsiLqFqwl0kyRP
0.743,0.229,181.854,0.289,0.793,0.922,4,0.611,2,169520,-7.183,0.346,1,audio_features,spotify:track:0MVlghYTJYGqQdbNehOyGd
0.13,0.253,132.409,0.0414,0.995,0.618,3,0.37,11,307867,-13.951,0.214,1,audio_features,spotify:track:4atfW49WBkridBghA2K59Q
0.665,0.169,112.291,0.17,0.805,0.817,4,0.664,1,149907,-7.377,0.656,1,audio_features,spotify:track:3wYFnWNPmqr6hM9hN9mQW3
0.486,0.101,149.334,0.12,0.948,0.746,4,0.488,1,89973,-9.063,0.731,1,audio_features,spotify:track:09ascjVKBs0y4nsZw09tXQ
0.562,0.149,90.599,0.0385,0.89,0.838,4,0.67,2,161800,-10.125,0.681,0,audio_features,spotify:track:0K5VgYdaPzRjjknuV3pNiU
0.0977,0.111,175.296,0.0364,0.991,0.88,4,0.243,4,181467,-17.936,0.111,0,audio_features,spotify:track:53bDQ8TZVP8alCiiiiTcZx
